Complexity,Learning Rate,Difficulty,Link,Topics
8,1,All Levels,https://www.udemy.com/course/artificial-intelligence-az/,AI
8,3,All Levels,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,Data Science
8,2,Intermediate,https://www.udacity.com//course/data-analyst-nanodegree--nd002,Data Analytics
8,5,All Levels,https://www.udemy.com/course/what-is-data-science-r/,Data Science
8,7,All Levels,https://www.udemy.com/course/datadrivenscience-machinelearning/,Machine Learning
8,4,Intermediate,https://www.udemy.com/course/introduction-to-data-science-basics/,Data Science
8,6,All Levels,https://www.udemy.com/course/learn-data-science-deep-learning-machine-learning-nlp-r/,Deep Learning
7,8,Beginner,https://www.udemy.com/course/python-introduction-to-data-science/,Data Science
8,9,All Levels,https://www.udemy.com/course/complete-data-wrangling-data-visualisation-with-python/,Data Science
8,4,All Levels,https://www.udemy.com/course/full-stack-data-science-course/,Data Science
8,3,All Levels,https://www.udemy.com/course/learn-data-science/,Data Science
8,2,Beginner,https://www.udemy.com/course/introduction-to-data-science-with-python-for-beginners/,Data Science
8,5,Beginner,https://www.udemy.com/course/the-data-analyst-bootcamp/,Data Analytics
8,6,All Levels,https://www.udemy.com/course/data-science-beginners-guide-to-the-command-line/,Data Science
8,7,All Levels,https://www.udemy.com/course/learn-datascience-statistics-machinelearning-nlp-python/,Data Science
8,8,Intermediate,https://www.udemy.com/course/numpy-course/,Python Basics
8,3,All Levels,https://www.udemy.com/course/python4ds/,Python Basics
9,4,All Levels,https://www.udemy.com/course/professional-certificate-in-data-science/,Data Science
8,6,All Levels,https://www.udemy.com/course/data-science-project-management-methodology-crisp-dm/,Data Science
8,3,Beginner,https://www.udemy.com/course/careers-in-data-science-a-ztm/,Data Science
8,8,Beginner,https://www.udemy.com/course/intro-to-data-science/,Data Science
8,2,Beginner,https://www.udemy.com/course/hands-on-machine-learning-without-writing-code/,Machine Learning
8,7,Intermediate,https://www.udemy.com/course/python-sql-tableau-integrating-python-sql-and-tableau/,Python Basics
9,8,Beginner,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,Data Science
8,9,All Levels,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,Data Science
8,8,All Levels,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/,Data Science
8,5,Beginner,https://www.udemy.com/course/statistics-for-data-science-data-analytics/,Data Science
8,3,Beginner,https://www.udemy.com/course/sql-for-data-science-with-google-big-query/,Data Science
9,6,All Levels,https://www.udemy.com/course/ra-data-science-and-supply-chain-analytics/,Data Science
8,7,All Levels,https://www.udemy.com/course/python-for-all-with-a-focus-on-financial-applications/,Python Basics
8,3,All Levels,https://www.udemy.com/course/100-days-of-code/,Python Basics
9,4,Intermediate,https://www.udemy.com/course/r-analytics/,R Programming
8,8,All Levels,https://www.udemy.com/course/data-science-bootcamp-with-python/,Data Science
7,7,All Levels,https://www.udemy.com/course/python-and-data-science-from-scratch-with-reallife-exercises/,Data Science
9,5,Beginner,https://www.udacity.com//course/ai-programming-python-nanodegree--nd089,AI
8,6,Advanced,https://www.udacity.com//course/design-of-computer-programs--cs212,Program Design
8,2,Intermediate,https://www.udacity.com//course/java-developer-nanodegree--nd035,Java
8,1,Intermediate,https://www.udacity.com//course/Intermediate-javascript-nanodegree--nd032,Javascript
8,5,Intermediate,https://www.udacity.com//course/object-oriented-programming-in-java--ud283,Java
6,7,Beginner,https://www.edx.org/course/python-basics-for-data-science,Data Science
8,9,Intermediate,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,Web Dev
8,5,Beginner,https://www.edx.org/course/introduction-to-java-programming-part-2,Java
8,3,All Levels,https://www.udemy.com/course/data-science-with-python-certification-training/,Data Science
8,4,All Levels,https://www.udemy.com/course/python-complete-bootcamp-2019-learn-by-applying-knowledge/,Python Basics
8,6,Beginner,https://www.udemy.com/course/python-introduction-to-data-science-and-machine-learning-a-z/,Machine Learning
8,7,All Levels,https://www.udemy.com/course/tensorflow-bootcamp-for-data-science-in-python/,Data Science
8,9,All Levels,https://www.udemy.com/course/data-science-complete-course/,Data Science
8,3,Intermediate,https://www.udemy.com/course/deep-learning-calculus-data-science-machine-learning-ai/,Data Science
6,4,All Levels,https://www.udemy.com/course/statistics-for-data-science-and-analytics-masterclass/,Data Science
8,5,All Levels,https://www.udemy.com/course/tableau-2018/,Data Science
8,6,All Levels,https://www.udemy.com/course/datascience-knime/,Data Science
8,2,All Levels,https://www.udemy.com/course/data-science-datamining-natural-language-processing-in-r/,Data Science
8,1,All Levels,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,Data Science
8,5,Beginner,https://www.udemy.com/course/data-science-projects-with-python/,Data Science
8,6,All Levels,https://www.udemy.com/course/applied-data-science-covid-19-prototype/,Data Science
8,7,All Levels,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,Data Science
7,8,All Levels,https://www.udemy.com/course/the-complete-python-masterclass/,Python Basics
8,4,All Levels,https://www.udemy.com/course/python-basic-to-advance-mhm/,Python Basics
8,5,Beginner,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-2/,Machine Learning
8,3,Intermediate,https://www.udacity.com//course/website-performance-optimization--ud884,Website Optimization
8,8,Advanced,https://www.udacity.com//course/kotlin-for-android-developers--ud888,Kotlin 
6,7,Beginner,https://www.edx.org/course/computing-in-python-ii-control-structures,Python Basics
7,2,All Levels,https://www.udemy.com/course/docker-masterclass-for-machine-learning-and-data-science/,Machine Learning
5,5,Beginner,https://www.udemy.com/course/just-enough-python/,Python Basics
8,6,Beginner,https://www.udemy.com/course/data-science-analytics-ai-for-business-the-real-world/,Data Science
8,7,All Levels,https://www.udemy.com/course/r-programming-for-data-science-beginners-to-pro/,R Programming
8,2,All Levels,https://www.udemy.com/course/the-product-management-for-data-science-ai-course/,AI
8,3,Beginner,https://www.udemy.com/course/introduction-to-python-for-data-science/,Python Basics
8,4,All Levels,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,Machine Learning
8,5,All Levels,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,Deep Learning
8,6,All Levels,https://www.udemy.com/course/tableau-desktop-advanced/,Python Basics
8,7,All Levels,https://www.udemy.com/course/data-science-with-sap-machine-learning-for-enterprise-data/,Data Science
7,8,Beginner,https://www.udacity.com//course/android-basics-user-input--ud836,Kotlin 
8,9,Intermediate,https://www.udacity.com//course/c-for-programmers--ud210,C Programming
5,3,Beginner,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,Python Basics
6,5,All Levels,https://www.udemy.com/course/machine-learning-using-r/,Machine Learning
